gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
125	g10469.t1	679.831678793146	-1.45974836063271	0.336078562394487	-4.34347359210395	1.40247343179714e-05	0.000172302741038792	446	139	1385	411	457	806	804	889	424	354	331	417	1358	939	658
126	g10472.t1	24.5000847695765	1.24808122710729	0.38226122037998	3.26499566413422	0.00109465752180781	0.00636295418708003	15	139	15	61	58	24	9	3	18	58	35	35	20	53	6
127	g10473.t1	9.2131986442516	1.09670075874344	0.436306459004147	2.51360193302346	0.0119505237155134	0.0420747893547816	8	95	3	14	27	10	9	2	12	15	19	9	4	22	1
128	g10476.t1	7.98500206365742	-1.87670682942506	0.71467274502592	-2.62596669942547	0.00864032699885805	0.0326832394777463	5	11	11	1	3	7	32	3	5	4	0	2	5	19	5
129	g10478.t1	105.168669667647	-0.961372123754966	0.319819523533832	-3.00598322807916	0.00264723598811029	0.0129371923656576	109	33	92	43	43	197	160	107	102	129	129	64	155	129	80
130	g10479.t1	540.956738573007	-1.72885669972764	0.315080932382884	-5.48702419614129	4.08761161669376e-08	1.1760036878613e-06	525	93	845	362	292	887	527	719	332	272	265	310	981	363	816
131	g10480.t1	146.498479213079	-1.41338424638638	0.353298483409085	-4.00053867412112	6.31984571371737e-05	0.000613138394691818	119	75	230	83	119	123	101	217	154	109	38	79	194	139	215
132	g10481.t1	717.023343192909	1.9320551566476	0.307246565245092	6.2882888702316	3.20984222749896e-10	1.59643532395264e-08	560	185	228	1437	1605	308	433	70	1558	1062	1281	1742	196	2242	131
133	g10482.t1	322.563558008481	1.86912390048936	0.359434434055985	5.20018040396828	1.99095186629895e-07	4.60687097619014e-06	261	58	119	611	790	114	231	22	740	516	224	899	134	1176	85
134	g10484.t1	170.902353586964	1.26436892422163	0.262615098440062	4.8145324915894	1.4754489715308e-06	2.56808837482452e-05	173	31	64	310	311	112	105	56	441	306	171	362	134	374	45
135	g10485.t1	51.2085520601377	0.803970130747229	0.309232954610443	2.59988503411621	0.00932549967037527	0.0346690889590831	57	18	21	61	101	35	47	24	129	82	34	69	21	151	27
136	g10499.t1	594.579708512924	-1.67357513031144	0.44387038991206	-3.77041399549768	0.000162976961746619	0.00133560854825307	1126	135	1168	744	140	373	635	653	230	228	488	284	922	259	825
137	g105.t1	20.1343157832258	1.3250810163599	0.471039887666842	2.81309725790591	0.00490668080072093	0.0211930603161504	25	4	9	74	41	11	11	2	36	22	8	38	8	53	12
138	g1050.t1	82.3757231127296	-1.41399055808811	0.358025340839619	-3.94941473911347	7.83425094210682e-05	0.000728693117508517	93	63	176	55	69	58	56	109	78	41	53	40	107	61	47
139	g10500.t1	22.2571153904527	-2.60306355588379	0.771899487689079	-3.37228304643248	0.000745477929531153	0.00465735345232645	1	16	4	1	8	58	61	2	7	11	7	7	15	16	96
140	g1051.t1	68.9876952249034	0.833755189000011	0.324841707409963	2.56665067933465	0.0102686000317494	0.0374955547150883	82	27	51	89	99	64	28	21	115	104	198	65	44	147	21
141	g10511.t1	49.1279384025241	-2.53960961471312	1.02527849077603	-2.47699492143926	0.0132493787237917	0.045599820688402	0	10	1	20	6	106	158	1	4	33	22	27	28	4	273
